listing_id,state,city,area,micro_location,address,property_type,listing_status,title_tenure,bedrooms,bathrooms,parking_spaces,land_size_sqm,built_area_sqm,lot_shape,year_built,condition,listing_price_naira,price_per_sqm_naira,estimated_monthly_rent_naira,estimated_annual_rent_naira,service_charge_naira,annual_maintenance_naira,est_insurance_ground_rent_naira,gross_yield,net_yield,est_monthly_mortgage_20pct_down,cash_flow_20pct_down,risk_score,family_fit_score,investor_fit_score,renter_lifestyle_score,commute_score,school_access_score,flood_risk,title_risk,infrastructure_reliability,security_rating,road_access,market_liquidity,short_let_allowed,power_backup,water_supply,internet_reliability,pros,cons,best_for,warning_flags,ai_recommendation_summary,match_tags
NGL-0001,Rivers,Port Harcourt,Peter Odili Road,Golf Estate / Rainbow Town,"Plot 171, Government House Road",Serviced Apartment,For Sale,Gazette,1,2,0,47,58,Irregular,1990,Good,48000000,827586,300000,3600000,2200000,600000,150000,0.075,0.0038,713111,-8375332,44,70,51,60,63,72,Medium,Verification needed,66,71,Good,74,No,Inverter,Municipal + borehole,Patchy broadband,Attractive gross yield,Drainage/flood checks required; Documentation diligence required; High annual service charge,Family,Title verification; High service charge; Short-let restriction; Estate litigation check,"Good family test candidate in Peter Odili Road, Port Harcourt; check Title verification, High service charge before recommending.",budget; yield; family
NGL-0002,Kaduna,Kaduna,Barnawa,Narayi / High Cost,"Plot 12, Government House Road",Apartment / Flat,Tenant Occupied,Governor's Consent,3,2,3,123,129,Irregular,1995,Good,43500000,337209,300000,3600000,250000,500000,200000,0.0828,0.0502,646257,-5573082,27,75,59,66,64,45,Low,Clean,55,52,Fair,73,No,Solar + inverter,Estate water,Fiber available,Attractive gross yield,Road quality risk,Family,Possession timeline,"Good family test candidate in Barnawa, Kaduna; check Possession timeline before recommending.",budget; yield; family; low-flood-risk; clean-title
NGL-0003,Rivers,Port Harcourt,Trans Amadi,Industrial Layout / Rumuobiakani,"Plot 53, Ring Road",Penthouse,For Sale,C of O,3,4,3,86,109,Irregular,2026,Good,116000000,1064220,850000,10200000,900000,1500000,650000,0.0879,0.0502,1723352,-14856219,37,78,63,72,83,57,Medium,Clean,61,53,Good,70,Yes,Solar + inverter,Borehole,Fiber available,Good commute profile; Attractive gross yield; Short-let optionality,Drainage/flood checks required,Family,No major synthetic flags,"Good family test candidate in Trans Amadi, Port Harcourt; check pricing and inspection before recommending.",yield; family; clean-title
NGL-0004,Kaduna,Kaduna,Barnawa,Narayi / High Cost,"Plot 4, Central Link Road",Detached Duplex,Off-plan,Registered Deed,5,5,5,1022,385,Regular,2014,Newly Built,241000000,625974,1050000,12600000,600000,1750000,750000,0.0523,0.0326,3580412,-35102939,35,86,41,63,60,50,Low,Verification needed,67,67,Good,52,No,Solar + inverter,Municipal + borehole,Fiber available,Large family layout,Documentation diligence required,Family,Title verification,"Good family test candidate in Barnawa, Kaduna; check Title verification before recommending.",family; low-flood-risk
NGL-0005,Ogun,Abeokuta,Laderin,Kobape / Oke-Mosan Axis,"Plot 122, Estate Avenue",Bungalow,Off-plan,Registered Deed,3,2,4,481,127,Regular,2008,Fair,44000000,346457,200000,2400000,350000,550000,100000,0.0545,0.0247,653685,-6756221,53,75,37,57,59,47,Medium,Verification needed,44,53,Good,55,No,Solar + inverter,Estate water,4G/5G reliable,Balanced price for area,Drainage/flood checks required; Documentation diligence required; Repair budget needed,Family,Title verification; Renovation/structural check,"Good family test candidate in Laderin, Abeokuta; check Title verification, Renovation/structural check before recommending.",budget; family; renovation
NGL-0006,Lagos,Lagos,Magodo,Phase 2 / Shangisha,"Plot 51, CMD Road",Apartment / Flat,Distress Sale,Excision in Process,1,1,2,59,58,Corner plot,2004,Needs Renovation,39500000,681034,200000,2400000,550000,550000,100000,0.0608,0.0225,586831,-6153971,48,67,46,59,40,65,Low,Verification needed,49,65,Fair,79,No,Inverter,Estate water,4G/5G reliable,High market liquidity,Documentation diligence required; Repair budget needed; Commute risk,Family,Title verification; Renovation/structural check,"Good family test candidate in Magodo, Lagos; check Title verification, Renovation/structural check before recommending.",budget; family; low-flood-risk; renovation
NGL-0007,FCT,Abuja,Wuse 2,Aminu Kano / Ademola Adetokunbo,"Plot 62, Aminu Kano Crescent",Apartment / Flat,For Sale,Registered Deed,4,4,4,128,224,Regular,2009,Fair,238500000,1064732,1550000,18600000,2100000,1950000,1000000,0.078,0.0467,3543270,-31387244,42,95,58,73,75,93,Low,Verification needed,76,61,Good,96,No,Inverter,Municipal + borehole,4G/5G reliable,High market liquidity; Strong school access; Good commute profile,Documentation diligence required; Repair budget needed; High annual service charge,Family,Title verification; Renovation/structural check; High service charge,"Good family test candidate in Wuse 2, Abuja; check Title verification, Renovation/structural check before recommending.",yield; family; low-flood-risk; prime; renovation
NGL-0008,Edo,Benin City,Ugbowo,University Axis,"Plot 52, Government House Road",Uncompleted Shell,For Sale,Governor's Consent,2,1,3,301,115,Corner plot,2017,Newly Built,36000000,313043,0,0,200000,250000,100000,0.0,-0.0153,534833,-6967999,22,79,33,66,75,37,Low,Clean,63,88,Good,63,No,Generator-ready,Estate water,Fiber available,Good commute profile; Strong security profile,May require negotiation to improve value,Family,No major synthetic flags,"Good family test candidate in Ugbowo, Benin City; check pricing and inspection before recommending.",budget; family; low-flood-risk; clean-title
NGL-0009,Plateau,Jos,Rayfield,Old Airport / Rayfield Resort,"Plot 139, Ring Road",Serviced Apartment,For Sale,C of O,2,3,1,100,95,Regular,2015,Excellent,35500000,373684,200000,2400000,850000,300000,150000,0.0676,0.0222,527405,-5540860,24,82,53,63,63,62,Low,Clean,42,73,Good,64,No,Inverter,Municipal + borehole,4G/5G reliable,Attractive gross yield,Power/water reliability concern,Family,Short-let restriction,"Good family test candidate in Rayfield, Jos; check Short-let restriction before recommending.",budget; family; low-flood-risk; clean-title
NGL-0010,Cross River,Calabar,State Housing,Marian / Etta Agbor,"Plot 58, Central Link Road",Apartment / Flat,For Sale,C of O,2,2,1,107,113,Corner plot,1980,Needs Renovation,32000000,283186,100000,1200000,550000,200000,50000,0.0375,0.0076,475407,-5460888,36,84,39,63,62,65,Low,Clean,44,78,Good,63,No,Inverter,Estate water,4G/5G reliable,Strong security profile,Repair budget needed; Power/water reliability concern,Family,Renovation/structural check,"Good family test candidate in State Housing, Calabar; check Renovation/structural check before recommending.",budget; family; low-flood-risk; clean-title; renovation
